"Kod";"Nazwa";"samochody osobowe;benzyna;2015;[szt.]";"samochody osobowe;benzyna;2016;[szt.]";"samochody osobowe;benzyna;2017;[szt.]";"samochody osobowe;benzyna;2018;[szt.]";"samochody osobowe;benzyna;2019;[szt.]";"samochody osobowe;benzyna;2020;[szt.]";"samochody osobowe;benzyna;2021;[szt.]";"samochody osobowe;olej napędowy;2015;[szt.]";"samochody osobowe;olej napędowy;2016;[szt.]";"samochody osobowe;olej napędowy;2017;[szt.]";"samochody osobowe;olej napędowy;2018;[szt.]";"samochody osobowe;olej napędowy;2019;[szt.]";"samochody osobowe;olej napędowy;2020;[szt.]";"samochody osobowe;olej napędowy;2021;[szt.]";"samochody osobowe;gaz (LPG);2015;[szt.]";"samochody osobowe;gaz (LPG);2016;[szt.]";"samochody osobowe;gaz (LPG);2017;[szt.]";"samochody osobowe;gaz (LPG);2018;[szt.]";"samochody osobowe;gaz (LPG);2019;[szt.]";"samochody osobowe;gaz (LPG);2020;[szt.]";"samochody osobowe;gaz (LPG);2021;[szt.]";"samochody osobowe;pozostałe;2015;[szt.]";"samochody osobowe;pozostałe;2016;[szt.]";"samochody osobowe;pozostałe;2017;[szt.]";"samochody osobowe;pozostałe;2018;[szt.]";"samochody osobowe;pozostałe;2019;[szt.]";"samochody osobowe;pozostałe;2020;[szt.]";"samochody osobowe;pozostałe;2021;[szt.]";
0000000;"POLSKA";11315095;11694188;12156450;12372309;12787991;13111160;13453745;6090488;6554145;6874307;7290632;7620007;7908948;8149408;2977264;3082548;3038596;3281951;3327624;3388888;3414693;340576;344507;434226;484124;624544;704866;851958;
0200000;"DOLNOŚLĄSKIE";886885;921343;954660;976917;1011409;1039936;1068856;497889;534910;556103;590143;620107;645601;666447;174468;181369;179547;193317;195751;199325;201333;51143;51022;59875;63583;72278;78469;90101;
0400000;"KUJAWSKO-POMORSKIE";602021;619442;644195;653274;674823;691439;710304;302808;325518;342727;364295;383244;400065;414828;186570;193428;191696;207504;210821;214611;216024;12044;12295;15638;18232;23361;26375;31779;
0600000;"LUBELSKIE";534094;552327;579069;582063;599024;614324;630884;345750;373933;395273;421623;441314;462603;482418;218852;227764;223914;244001;247706;253609;256400;1989;2086;7251;8578;16007;18358;23633;
0800000;"LUBUSKIE";336156;348091;359000;366312;378496;387769;397812;173230;187902;197910;212501;225802;236942;246473;65034;67617;66966;71972;73072;74104;74491;3291;3412;6048;6910;9372;10558;12981;
1000000;"ŁÓDZKIE";737150;760695;791906;798479;824300;843746;865590;335438;360749;377092;400942;422757;442237;459997;282272;291878;286392;307857;310834;314865;314762;3454;3610;10296;12626;20935;24346;31348;
1200000;"MAŁOPOLSKIE";907922;941758;985493;1006402;1042120;1072700;1106378;515935;556711;581498;616635;643317;666491;686027;235389;243007;239006;258448;262657;267942;270463;66426;66526;73863;78002;92722;100311;114421;
1400000;"MAZOWIECKIE";1675936;1745566;1841549;1896134;1983880;2040126;2100126;911903;983049;1039258;1099624;1138350;1169519;1191705;559448;575686;571263;612724;621414;634062;642481;23069;25483;39423;54970;88568;114014;158123;
1600000;"OPOLSKIE";357764;365198;373196;376994;385236;392152;399109;162406;174074;181635;192921;202992;211872;219185;57735;59705;58647;63346;64439;65764;65838;3572;3653;6090;6903;9835;11078;13392;
1800000;"PODKARPACKIE";479848;496232;520163;524741;541769;556134;572457;325138;355315;384501;409450;420895;436852;449222;157463;165954;165168;182747;186961;192469;195016;62299;62180;63564;64938;69659;71813;75816;
2000000;"PODLASKIE";283928;293296;306087;310804;321172;330100;340264;176574;188439;195025;206073;216337;225028;233098;89763;92630;89882;97180;98134;99385;100270;1254;1372;5419;6430;10502;12298;15538;
2200000;"POMORSKIE";603891;625429;650019;665048;691996;714095;736307;422371;453773;472545;498950;521581;541169;557179;131360;136103;133567;144474;146769;150220;152644;80269;79743;84656;87024;95135;100631;110589;
2400000;"ŚLĄSKIE";1483854;1522101;1565995;1591445;1633040;1664763;1697246;616353;653176;675726;709621;735505;756193;769729;294890;308256;304772;330820;335048;339684;339821;3022;3717;12520;18418;35034;42482;56368;
2600000;"ŚWIĘTOKRZYSKIE";324810;334937;347377;349859;358879;366572;375631;188491;204173;215533;230740;243378;253570;263611;103523;106075;102657;110106;111366;112656;112762;12499;12515;15122;16081;21278;22658;26144;
2800000;"WARMIŃSKO-MAZURSKIE";368003;381344;396292;403151;415813;427352;438919;213755;228762;238364;251840;264611;275809;285929;104648;107109;105064;112674;115080;117552;119566;9250;9312;11807;12843;18032;19495;22809;
3000000;"WIELKOPOLSKIE";1223305;1260435;1298247;1315842;1355091;1386263;1416556;631635;684161;719632;766103;804467;836318;862849;225008;231801;226356;243864;245112;248010;247386;4825;5162;15126;19450;28039;35586;48292;
3200000;"ZACHODNIOPOMORSKIE";509528;525994;543202;554844;570943;583689;597306;270812;289500;301485;319171;335350;348679;360711;90841;94166;93699;100917;102460;104630;105436;2170;2419;7528;9136;13787;16394;20624;
